Source,Target,Weight
Robert Francis Prevost OSA,Arlindo Gomes Furtado,3
Robert Francis Prevost OSA,Soane Patita Paini Mafi,4
Robert Francis Prevost OSA,Dieudonné Nzapalainga CSSp,4
Robert Francis Prevost OSA,Carlos Osoro Sierra,3
Robert Francis Prevost OSA,Sérgio da Rocha,4
Robert Francis Prevost OSA,Blase J. Cupich,5
Robert Francis Prevost OSA,Jozef De Kesel,3
Robert Francis Prevost OSA,Carlos Aguiar Retes,4
Robert Francis Prevost OSA,John Ribat MSC,4
Robert Francis Prevost OSA,Joseph W. Tobin CSsR,5
Robert Francis Prevost OSA,Juan José Omella,3
Robert Francis Prevost OSA,Anders Arborelius OCD,3
Robert Francis Prevost OSA,Angelo De Donatis,3
Robert Francis Prevost OSA,Joseph Coutts,3
Robert Francis Prevost OSA,António Marto,3
Robert Francis Prevost OSA,Désiré Tsarahazana,3
Robert Francis Prevost OSA,Giuseppe Petrocchi,3
Robert Francis Prevost OSA,Thomas Aquino Manyo Maeda,3
Robert Francis Prevost OSA,Ignatius Suharyo Hardjoatmodjo,3
Robert Francis Prevost OSA,Juan García Rodríguez,4
Robert Francis Prevost OSA,Fridolin Ambongo Besungu OFMCap,4
Robert Francis Prevost OSA,Jean-Claude Hollerich SJ,4
Robert Francis Prevost OSA,Álvaro Leonel Ramazzini Imeri,4
Robert Francis Prevost OSA,Matteo Zuppi,4
Robert Francis Prevost OSA,Cristóbal López Romero SDB,3
Robert Francis Prevost OSA,Antoine Kambanda,4
Robert Francis Prevost OSA,Wilton Daniel Gregory,5
Robert Francis Prevost OSA,Jose Advincula OP,3
Robert Francis Prevost OSA,Augusto Paolo Lojudice,4
Robert Francis Prevost OSA,Jean-Marc Aveline,4
Robert Francis Prevost OSA,Peter Okpaleke,4
Robert Francis Prevost OSA,Leonardo Ulrich Steiner OFM,3
Robert Francis Prevost OSA,Filipe Neri Ferrão,3
Robert Francis Prevost OSA,Robert McElroy,5
