No,Name,Country,Order,Office,Date_of_birth,Age,Date_of_consistory,Pope_of_consistory
124,Lazarus You Heung-sik,South Korea,CD,Prefect of the Dicastery for the Clergy,17 November 1951,73,27 August 2022,Francis
125,Claudio Gugerotti,Italy,CD,Prefect of the Dicastery for the Eastern Churches,7 October 1955,69,30 September 2023,Francis
126,Víctor Manuel Fernández,Argentina,CD,Prefect of the Dicastery for the Doctrine of the Faith,18 July 1962,62,30 September 2023,Francis
127,Emil Paul Tscherrig,Switzerland,CD,Apostolic Nuncio emeritus to Italy and San Marino,3 February 1947,78,30 September 2023,Francis
128,Christophe Pierre,France,CD,Apostolic Nuncio to the United States,30 January 1946,79,30 September 2023,Francis
129,Ángel Fernández Artime SDB,Spain,CD,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,21 August 1960,64,30 September 2023,Francis
130,Rolandas Makrickas,Lithuania,CD,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,31 January 1972,53,7 December 2024,Francis
131,Timothy Radcliffe OP,United Kingdom,CD,Master emeritus of the Order of Preachers[q],22 August 1945,79,7 December 2024,Francis
132,Fabio Baggio CS,Italy,CD,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,15 January 1965,60,7 December 2024,Francis
133,George Koovakad,India,CD,"Prefect of the Dicastery for Interreligious Dialogue
(Syro-Malabar Church)",11 August 1973,51,7 December 2024,Francis
